addresses_roadtype_name,addresses_end_street_number,geo_epgs_4326_lon,values_attribute_name,estimated_dates,addresses_road_name,values_category,addresses_zip_code,secondary_filters_id,values_value,addresses_town,secondary_filters_name,timetable,secondary_filters_tree,start_date,addresses_district_name,end_date,geo_epgs_25831_x,addresses_start_street_number,register_id,institution_id,addresses_main_address,addresses_district_id,addresses_roadtype_id,addresses_type,addresses_neighborhood_id,_id,name,addresses_road_id,created,geo_epgs_25831_y,institution_name,modified,secondary_filters_asia_id,secondary_filters_fullpath,geo_epgs_4326_lat,values_description,values_id,addresses_neighborhood_name,values_outstanding,values_attribute_id
,,2.182714956455826,Tel.,,C Rosselló i Porcel,Telèfons,8016,57345754,932760480,BARCELONA,Instal·lacions esportives,,651,,Nou Barris,,431719.03357777355,7,﻿93313132345,92086032989,True,8,,,45,22,Pistes Poliesportives,289852,1993-11-09T00:00:00,4587408.66920298,Centre Esportiu Municipal Can Dragó,2016-11-04T10:33:01,65102004002,Planol BCN >> Esports >> Instal·lacions esportives,41.43534554608708,CEM Can Dragó,174634,Porta,True,20001
,,2.1708831578326517,No tenen telèfon,,Via Favència,Telèfons,8042,57731070,-,BARCELONA,Frontennis,,651,,Nou Barris,,430739.22589773237,121,﻿93314114228,92086035802,True,8,,,49,23,Frontó Curt,120807,1993-11-10T00:00:00,4588326.562062923,Pistes Poliesportives Antoni Gilabert,2012-07-20T11:39:36,65103004000002,Planol BCN >> Esports >> Esports d'equip >> Frontennis,41.44352873708644,,174635,Canyelles,True,100050
,,2.1708831578326517,No tenen telèfon,,Via Favència,Telèfons,8042,57732077,-,BARCELONA,Altres esports,,651,,Nou Barris,,430739.22589773237,121,﻿93314114228,92086035802,True,8,,,49,24,Frontó Curt,120807,1993-11-10T00:00:00,4588326.562062923,Pistes Poliesportives Antoni Gilabert,2012-07-20T11:39:36,65103004001009,Planol BCN >> Esports >> Esports individuals >> Altres esports,41.44352873708644,,174635,Canyelles,True,100050
,,2.191931970363969,,,Via Bàrcino,,8033,57345754,,BARCELONA,Instal·lacions esportives,,651,,Sant Andreu,,432501.8317087396,104,﻿92168152333,,True,9,,,57,67,Camp Municipal Futbol Trinitat Vella,34400,1987-07-15T00:00:00,4588766.854131123,,2023-10-04T12:55:58.083115,65102004002,Planol BCN >> Esports >> Instal·lacions esportives,41.44764441746558,,,la Trinitat Vella,,
,,2.1708831578326517,No tenen telèfon,,Via Favència,Telèfons,8042,57345754,-,BARCELONA,Instal·lacions esportives,,651,,Nou Barris,,430739.22589773237,121,﻿93314114228,92086035802,True,8,,,49,25,Frontó Curt,120807,1993-11-10T00:00:00,4588326.562062923,Pistes Poliesportives Antoni Gilabert,2012-07-20T11:39:36,65102004002,Planol BCN >> Esports >> Instal·lacions esportives,41.44352873708644,,174635,Canyelles,True,100050
,,2.1335326705130075,No tenen telèfon,,Vallespir,Telèfons,8014,57731068,-,BARCELONA,Bàsquet,,651,,Les Corts,,427553.9981942886,196,﻿94164125820,,True,4,,,19,26,Pistes Poliesportives Municipal Jardins Infantes,352904,1994-06-13T00:00:00,4581849.692538663,,2016-10-25T11:29:38,65103004000000,Planol BCN >> Esports >> Esports d'equip >> Bàsquet,41.3849133384443,,175786,les Corts,True,100050
,,2.1335326705130075,No tenen telèfon,,Vallespir,Telèfons,8014,57732077,-,BARCELONA,Altres esports,,651,,Les Corts,,427553.9981942886,196,﻿94164125820,,True,4,,,19,27,Pistes Poliesportives Municipal Jardins Infantes,352904,1994-06-13T00:00:00,4581849.692538663,,2016-10-25T11:29:38,65103004001009,Planol BCN >> Esports >> Esports individuals >> Altres esports,41.3849133384443,,175786,les Corts,True,100050
,,2.1335326705130075,No tenen telèfon,,Vallespir,Telèfons,8014,57345754,-,BARCELONA,Instal·lacions esportives,,651,,Les Corts,,427553.9981942886,196,﻿94164125820,,True,4,,,19,28,Pistes Poliesportives Municipal Jardins Infantes,352904,1994-06-13T00:00:00,4581849.692538663,,2016-10-25T11:29:38,65102004002,Planol BCN >> Esports >> Instal·lacions esportives,41.3849133384443,,175786,les Corts,True,100050
,,2.137777620686779,Tel.,,Ctra Sant Cugat,Telèfons,8035,57731068,932126789,BARCELONA,Bàsquet,,651,,Gràcia,,427950.14345757576,97,﻿92086019859,92168152977,True,6,,,28,29,Pavelló Poliesportiu,148409,1989-10-09T00:00:00,4585987.323271296,Club Tennis Vall Parc,2006-07-05T13:36:15,65103004000000,Planol BCN >> Esports >> Esports d'equip >> Bàsquet,41.42221483499628,,166190,Vallcarca i els Penitents,True,20001
,,2.137777620686779,Tel.,,Ctra Sant Cugat,Telèfons,8035,57731071,932126789,BARCELONA,Futbol sala,,651,,Gràcia,,427950.14345757576,97,﻿92086019859,92168152977,True,6,,,28,30,Pavelló Poliesportiu,148409,1989-10-09T00:00:00,4585987.323271296,Club Tennis Vall Parc,2006-07-05T13:36:15,65103004000003,Planol BCN >> Esports >> Esports d'equip >> Futbol sala,41.42221483499628,,166190,Vallcarca i els Penitents,True,20001
